#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#PreAmp State,ON
#Ref Level,-30.00 dBm
#Ref Offset,0.00 dB
#Attenuation,10,Auto
#X Axis Scale,LINE
#Impedance,50
#Number of Points,751
#Sweep Time(s),4.455000,Auto
#Sweep Times Type,Continuous
#Sweep Mode,Sweep
#Sweep Rule,Speed
#Start Frequency,10000000
#Stop Frequency,500000000
#Offset Frequency,0
#Average Type,Log Pwr
#RBW,30000.000000,Manual
#VBW,30000.000000,Auto
#RBW Filter,Gaussian
#Trigger Source,FreeRun
#Trigger Level,0.00 dBm
#External Trigger Edge,RISE
#Video Trigger Edge,RISE
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#Marker1,C,Frequency,100.813333 MHz,-54.86 dBm
#Marker2,C,Frequency,193.586667 MHz,-49.32 dBm
#Peak Table Information
#Peak Threshold,-90.00 dBm
#Peak Excursion,15.00 dB
#Peak,Trace,X Axis,Amplitude
#Trace Math Type,Off
#Trace Math Offset, 0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C,Trace D
#Trace Type,View,View,View,Blank
#Trace Detector,Sample,Sample,Sample,Pos Peak
#Trace Data
284400000.000000,-111.36,-92.06,-58.39,
285053333.000000,-111.24,-95.86,-58.42,
285706667.000000,-113.10,-94.44,-57.99,
286360000.000000,-111.40,-94.82,-58.09,
287013333.000000,-111.83,-97.47,-58.20,
287666667.000000,-111.12,-95.73,-58.29,
288320000.000000,-112.53,-94.44,-58.44,
288973333.000000,-110.39,-92.64,-58.41,
289626667.000000,-112.70,-94.41,-58.53,
290280000.000000,-107.97,-95.59,-58.65,
290933333.000000,-112.92,-97.51,-58.70,
291586667.000000,-112.81,-94.12,-58.76,
292240000.000000,-113.48,-95.43,-58.96,
292893333.000000,-109.56,-96.62,-58.98,
293546667.000000,-113.03,-94.63,-59.12,
294200000.000000,-108.59,-93.64,-59.12,
294853333.000000,-111.15,-94.56,-59.32,
295506667.000000,-110.74,-92.52,-59.35,
296160000.000000,-111.40,-93.42,-59.38,
296813333.000000,-111.62,-94.06,-59.54,
297466667.000000,-114.19,-94.56,-59.61,
298120000.000000,-112.28,-95.85,-59.68,
298773333.000000,-115.18,-96.76,-59.77,
299426667.000000,-110.50,-93.58,-59.93,
300080000.000000,-112.64,-96.40,-59.96,
300733333.000000,-111.57,-95.84,-60.09,
301386667.000000,-110.79,-97.00,-60.10,
302040000.000000,-113.69,-95.43,-60.20,
302693333.000000,-111.77,-98.82,-60.31,
303346667.000000,-110.15,-95.10,-60.41,
304000000.000000,-113.03,-94.66,-60.47,
304653333.000000,-110.55,-97.05,-60.61,
305306667.000000,-111.19,-94.82,-60.61,
305960000.000000,-113.66,-95.07,-60.70,
306613333.000000,-111.07,-98.74,-60.75,
307266667.000000,-109.74,-94.76,-60.92,
307920000.000000,-115.54,-94.86,-60.96,
308573333.000000,-111.43,-95.07,-61.15,
309226667.000000,-112.71,-97.13,-61.25,
309880000.000000,-110.13,-98.74,-61.34,
310533333.000000,-112.74,-95.89,-61.47,
311186667.000000,-111.48,-94.51,-61.60,
311840000.000000,-110.63,-96.83,-61.69,
312493333.000000,-110.43,-95.85,-61.80,
313146667.000000,-108.99,-96.41,-61.92,
313800000.000000,-111.32,-95.49,-61.97,
314453333.000000,-111.05,-95.73,-62.15,
315106667.000000,-110.41,-98.71,-62.30,
315760000.000000,-110.42,-98.62,-62.44,
316413333.000000,-110.49,-99.35,-62.46,
317066667.000000,-112.95,-97.24,-62.62,
317720000.000000,-111.72,-97.13,-62.69,
318373333.000000,-110.03,-99.16,-62.85,
319026667.000000,-111.53,-95.63,-62.91,
319680000.000000,-112.47,-95.36,-63.00,
320333333.000000,-111.75,-95.94,-63.18,
320986667.000000,-109.65,-97.37,-63.27,
321640000.000000,-113.84,-96.52,-63.32,
322293333.000000,-110.49,-98.49,-63.60,
322946667.000000,-112.35,-98.62,-63.61,
323600000.000000,-112.17,-97.57,-63.66,
324253333.000000,-110.52,-97.04,-63.91,
324906667.000000,-110.58,-97.25,-64.00,
325560000.000000,-114.52,-97.74,-64.14,
