# One Inch Photodetector
# AW 2021-09-02
# OPA818 op-amp
# RF 12k Ohm
# CF not installed
# FGA01FC InGaAs photodiode, 2pF @ 5V
#
# Trace A: SA floor 
# Trace B: detector dark noise
# Trace C: detector response
# Trace D: detector response, 10dB optical attenuation added
# 3 kHz RBW, frequency sweep 1MHz to 500MHz
#
# Machine Module,SSA3021X
# Y Axis Scale,LOG
# Y Axis Unit,dBm
# Impedance,50
# Number of Points,751
# Sweep Time(s),36.843309,Auto
# Start Frequency,+1.000000000e+06
# Stop Frequency,+5.000000000e+08
# Offset Frequency,+0.000000000e+00
# Average Type,Log Pwr
# RBW,3000.000000,Manual
# VBW,3000.000000,Auto
# Sweep Type,Continuous
# Sweep Mode,Auto
# Sweep Rule,Speed
# PreAmp State,ON
# Ref Level,-2.500000000e+01
# Attenuation,15,Manual
# Trigger Source,FreeRun
# Trigger Level,+0.000000000e+00
# External Trigger Edge,FALL
# Video Trigger Edge,FALL
# Marker Information
# Marker,Trace,Type,X Axis,Amplitude
# Marker1,C,Frequency,110.114667 MHz,-33.01 dBm
# Trace Math,0
# Trace Variable X,Trace A
# Trace Variable Y,Trace B
# Trace Variable Z,Trace C
# Trace Name,Trace A,Trace B,Trace C,Trace D
# Trace Type,View,View,View,View
# Trace Detector,Sample,Sample,Pos Peak,Pos Peak
# Trace Data
5.555733e+07,-1.134891e+02,-1.029422e+02,-2.972831e+01,-4.944511e+01
5.622267e+07,-1.137732e+02,-1.010428e+02,-2.974296e+01,-4.946952e+01
5.688800e+07,-1.230828e+02,-1.043396e+02,-2.970390e+01,-4.941093e+01
5.755333e+07,-1.150789e+02,-1.062185e+02,-2.971366e+01,-4.943046e+01
5.821867e+07,-1.144793e+02,-1.016717e+02,-2.968925e+01,-4.940116e+01
5.888400e+07,-1.155203e+02,-1.037967e+02,-2.968437e+01,-4.940116e+01
5.954933e+07,-1.207000e+02,-1.033445e+02,-2.966483e+01,-4.938651e+01
6.021467e+07,-1.150789e+02,-1.034930e+02,-2.966483e+01,-4.936698e+01
6.088000e+07,-1.139539e+02,-1.054031e+02,-2.965995e+01,-4.937187e+01
6.154533e+07,-1.132664e+02,-1.030994e+02,-2.964042e+01,-4.934745e+01
6.221067e+07,-1.166434e+02,-1.026687e+02,-2.965995e+01,-4.936210e+01
6.287600e+07,-1.134851e+02,-1.011678e+02,-2.962577e+01,-4.932304e+01
6.354133e+07,-1.190906e+02,-1.005730e+02,-2.965019e+01,-4.933280e+01
6.420667e+07,-1.141170e+02,-9.908573e+01,-2.961601e+01,-4.930839e+01
6.487200e+07,-1.144129e+02,-1.023992e+02,-2.964530e+01,-4.931327e+01
6.553733e+07,-1.165242e+02,-1.031248e+02,-2.962089e+01,-4.930839e+01
6.620267e+07,-1.182830e+02,-1.004900e+02,-2.964530e+01,-4.931815e+01
6.686800e+07,-1.127107e+02,-1.028836e+02,-2.962089e+01,-4.928886e+01
6.753333e+07,-1.139764e+02,-1.018094e+02,-2.964530e+01,-4.931815e+01
6.819867e+07,-1.138435e+02,-1.032205e+02,-2.962577e+01,-4.927909e+01
6.886400e+07,-1.147137e+02,-9.986210e+01,-2.964530e+01,-4.929374e+01
6.952933e+07,-1.144851e+02,-1.008953e+02,-2.962577e+01,-4.926933e+01
7.019467e+07,-1.166121e+02,-1.005223e+02,-2.964530e+01,-4.928886e+01
7.086000e+07,-1.152488e+02,-1.029090e+02,-2.963554e+01,-4.928886e+01
7.152533e+07,-1.158572e+02,-1.019998e+02,-2.965507e+01,-4.927909e+01
7.219067e+07,-1.200769e+02,-1.019207e+02,-2.967948e+01,-4.929862e+01
7.285600e+07,-1.185164e+02,-1.011600e+02,-2.966972e+01,-4.929374e+01
7.352133e+07,-1.173924e+02,-9.890800e+01,-2.969413e+01,-4.931815e+01
7.418667e+07,-1.124041e+02,-9.796757e+01,-2.968925e+01,-4.929374e+01
7.485200e+07,-1.224637e+02,-1.044666e+02,-2.972343e+01,-4.931815e+01
7.551733e+07,-1.165017e+02,-1.003885e+02,-2.972831e+01,-4.932792e+01
7.618267e+07,-1.130486e+02,-9.978690e+01,-2.975272e+01,-4.934257e+01
7.684800e+07,-1.111228e+02,-9.965507e+01,-2.975272e+01,-4.934257e+01
7.751333e+07,-1.160037e+02,-1.001805e+02,-2.979667e+01,-4.936698e+01
7.817867e+07,-1.155867e+02,-9.932011e+01,-2.979179e+01,-4.934257e+01
7.884400e+07,-1.150232e+02,-1.001990e+02,-2.984062e+01,-4.941581e+01
7.950933e+07,-1.159959e+02,-1.033660e+02,-2.983573e+01,-4.940116e+01
8.017467e+07,-1.134441e+02,-1.017674e+02,-2.988944e+01,-4.944999e+01
8.084000e+07,-1.151570e+02,-9.896366e+01,-2.988456e+01,-4.946952e+01
8.150533e+07,-1.159168e+02,-9.993339e+01,-2.995292e+01,-4.949882e+01
8.217067e+07,-1.137840e+02,-1.037713e+02,-2.996757e+01,-4.951347e+01
8.283600e+07,-1.139744e+02,-1.014627e+02,-3.001640e+01,-4.952812e+01
8.350133e+07,-1.173055e+02,-9.998905e+01,-3.004569e+01,-4.953788e+01
8.416667e+07,-1.179558e+02,-9.674491e+01,-3.008476e+01,-4.960624e+01
8.483200e+07,-1.173543e+02,-1.019607e+02,-3.012382e+01,-4.962577e+01
8.549733e+07,-1.175359e+02,-1.002283e+02,-3.016288e+01,-4.966483e+01
8.616267e+07,-1.139666e+02,-1.026980e+02,-3.020683e+01,-4.970878e+01
8.682800e+07,-1.168016e+02,-1.021766e+02,-3.024589e+01,-4.973808e+01
8.749333e+07,-1.181961e+02,-1.012322e+02,-3.029960e+01,-4.978202e+01
8.815867e+07,-1.160584e+02,-1.001180e+02,-3.033378e+01,-4.980644e+01
8.882400e+07,-1.133396e+02,-1.002478e+02,-3.039726e+01,-4.987480e+01
8.948933e+07,-1.162361e+02,-1.028328e+02,-3.041679e+01,-4.990897e+01
9.015467e+07,-1.163367e+02,-1.002127e+02,-3.079276e+01,-4.998222e+01
9.082000e+07,-1.128963e+02,-9.960038e+01,-3.078300e+01,-4.998222e+01
9.148533e+07,-1.163475e+02,-9.940116e+01,-3.089530e+01,-5.008476e+01
9.215067e+07,-1.181209e+02,-9.803593e+01,-3.092460e+01,-5.011405e+01
9.281600e+07,-1.164207e+02,-9.830253e+01,-3.100761e+01,-5.015800e+01
9.348133e+07,-1.182615e+02,-9.981815e+01,-3.103202e+01,-5.022147e+01
9.414667e+07,-1.165174e+02,-1.002566e+02,-3.112480e+01,-5.025565e+01
9.481200e+07,-1.147449e+02,-1.009402e+02,-3.115897e+01,-5.031425e+01
9.547733e+07,-1.154988e+02,-9.865605e+01,-3.123222e+01,-5.037284e+01
9.614267e+07,-1.158875e+02,-9.957304e+01,-3.130546e+01,-5.042655e+01
9.680800e+07,-1.143162e+02,-1.002752e+02,-3.136894e+01,-5.049003e+01
9.747333e+07,-1.135711e+02,-9.952812e+01,-3.145194e+01,-5.057304e+01
9.813867e+07,-1.195867e+02,-9.826444e+01,-3.150565e+01,-5.062187e+01
9.880400e+07,-1.151121e+02,-9.877714e+01,-3.159355e+01,-5.069511e+01
9.946933e+07,-1.128494e+02,-1.015271e+02,-3.164237e+01,-5.074882e+01
1.001347e+08,-1.148562e+02,-1.012361e+02,-3.174980e+01,-5.084647e+01
1.008000e+08,-1.166951e+02,-9.881034e+01,-3.178397e+01,-5.088554e+01
1.014653e+08,-1.158211e+02,-9.940312e+01,-3.191581e+01,-5.100272e+01
1.021307e+08,-1.140730e+02,-9.974003e+01,-3.194022e+01,-5.102226e+01
1.027960e+08,-1.153445e+02,-1.008807e+02,-3.207694e+01,-5.114921e+01
1.034613e+08,-1.156072e+02,-1.015252e+02,-3.213554e+01,-5.119315e+01
1.041267e+08,-1.240789e+02,-1.004891e+02,-3.224296e+01,-5.128593e+01
1.047920e+08,-1.156326e+02,-9.976151e+01,-3.229179e+01,-5.132987e+01
1.054573e+08,-1.187273e+02,-9.986015e+01,-3.239921e+01,-5.143241e+01
1.061227e+08,-1.145672e+02,-1.011756e+02,-3.246269e+01,-5.152519e+01
1.067880e+08,-1.175955e+02,-9.962968e+01,-3.256522e+01,-5.159843e+01
