#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#PreAmp State,ON
#Ref Level,-10.00 dBm
#Ref Offset,0.00 dB
#Attenuation,30,Auto
#X Axis Scale,LINE
#Impedance,50
#Number of Points,751
#Sweep Time(s),0.945000,Auto
#Sweep Times Type,Continuous
#Sweep Mode,Sweep
#Sweep Rule,Speed
#Start Frequency,1000000
#Stop Frequency,100000000
#Offset Frequency,0
#Average Type,Log Pwr
#RBW,30000.000000,Manual
#VBW,30000.000000,Auto
#RBW Filter,Gaussian
#Trigger Source,FreeRun
#Trigger Level,0.00 dBm
#External Trigger Edge,RISE
#Video Trigger Edge,RISE
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#Marker1,C,Frequency,25.024000 MHz,-37.30 dBm
#Marker2,C,Frequency,43.768000 MHz,-40.56 dBm
#Peak Table Information
#Peak Threshold,-90.00 dBm
#Peak Excursion,15.00 dB
#Peak,Trace,X Axis,Amplitude
#0,1,1.132000 MHz,-86.17 dBm
#Trace Math Type,Off
#Trace Math Offset, 0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C,Trace D
#Trace Type,View,View,View,Blank
#Trace Detector,Sample,Sample,Sample,Pos Peak
#Trace Data
20668000.000000,-90.71,-74.39,-37.02,
20800000.000000,-90.94,-72.89,-37.12,
20932000.000000,-91.06,-73.13,-36.87,
21064000.000000,-90.94,-73.48,-37.04,
21196000.000000,-91.30,-73.47,-36.75,
21328000.000000,-91.58,-73.53,-36.88,
21460000.000000,-90.98,-73.20,-37.18,
21592000.000000,-91.50,-73.35,-37.12,
21724000.000000,-90.72,-73.40,-36.75,
21856000.000000,-90.19,-73.92,-36.92,
21988000.000000,-90.95,-73.89,-37.04,
22120000.000000,-91.31,-71.00,-37.23,
22252000.000000,-91.38,-73.85,-36.97,
22384000.000000,-91.12,-73.06,-37.24,
22516000.000000,-91.22,-74.33,-37.30,
22648000.000000,-90.37,-73.54,-37.13,
22780000.000000,-93.04,-73.06,-37.16,
22912000.000000,-91.39,-73.53,-37.16,
23044000.000000,-91.71,-74.38,-36.93,
23176000.000000,-92.77,-75.57,-37.03,
23308000.000000,-90.65,-74.15,-37.02,
23440000.000000,-90.46,-71.55,-37.29,
23572000.000000,-91.16,-73.64,-37.50,
23704000.000000,-91.59,-73.79,-37.52,
23836000.000000,-90.74,-72.81,-37.25,
23968000.000000,-91.15,-72.35,-37.28,
24100000.000000,-91.42,-73.05,-37.37,
24232000.000000,-91.53,-73.36,-37.28,
24364000.000000,-90.87,-73.14,-37.38,
24496000.000000,-91.88,-71.76,-37.36,
24628000.000000,-92.88,-73.89,-37.41,
24760000.000000,-92.52,-72.27,-37.36,
24892000.000000,-91.38,-74.83,-37.50,
25024000.000000,-91.44,-73.19,-37.30,
25156000.000000,-92.26,-71.62,-37.37,
25288000.000000,-92.22,-74.52,-37.56,
25420000.000000,-91.61,-73.23,-37.29,
25552000.000000,-89.31,-71.62,-37.43,
25684000.000000,-92.64,-72.22,-37.47,
25816000.000000,-91.46,-74.10,-37.41,
25948000.000000,-90.28,-71.83,-37.54,
26080000.000000,-91.98,-71.43,-37.42,
26212000.000000,-91.94,-73.02,-37.32,
26344000.000000,-91.82,-73.08,-37.60,
26476000.000000,-91.95,-72.81,-37.49,
26608000.000000,-92.66,-72.90,-37.55,
26740000.000000,-91.43,-72.37,-37.60,
26872000.000000,-90.79,-73.73,-37.39,
27004000.000000,-91.36,-73.12,-37.69,
27136000.000000,-91.91,-73.01,-37.70,
27268000.000000,-90.31,-72.65,-37.77,
27400000.000000,-90.72,-72.54,-37.57,
27532000.000000,-91.50,-71.45,-37.56,
27664000.000000,-91.84,-72.00,-37.67,
27796000.000000,-89.86,-73.35,-37.66,
27928000.000000,-90.76,-73.00,-37.74,
28060000.000000,-91.34,-71.98,-37.64,
28192000.000000,-91.37,-72.52,-37.83,
28324000.000000,-92.20,-72.38,-37.84,
28456000.000000,-91.18,-72.31,-37.77,
28588000.000000,-91.38,-72.74,-37.73,
28720000.000000,-92.26,-72.69,-37.97,
28852000.000000,-89.10,-73.17,-38.10,
28984000.000000,-90.98,-73.06,-37.72,
29116000.000000,-90.33,-71.68,-37.96,
29248000.000000,-93.53,-72.43,-37.78,
29380000.000000,-93.21,-72.02,-37.90,
29512000.000000,-91.72,-71.49,-38.20,
29644000.000000,-90.28,-73.48,-38.13,
29776000.000000,-91.24,-71.70,-37.98,
29908000.000000,-90.80,-72.40,-38.03,
30040000.000000,-91.44,-72.90,-38.09,
30172000.000000,-91.22,-70.98,-37.96,
30304000.000000,-93.73,-74.69,-37.85,
30436000.000000,-91.54,-73.96,-37.96,
30568000.000000,-91.94,-71.63,-37.99,
30700000.000000,-91.29,-71.94,-38.36,
30832000.000000,-92.17,-71.22,-37.94,
30964000.000000,-90.85,-72.33,-38.30,
31096000.000000,-90.16,-72.79,-38.17,
31228000.000000,-91.44,-71.82,-38.23,
31360000.000000,-90.99,-72.42,-37.92,
31492000.000000,-90.92,-72.18,-38.32,
31624000.000000,-92.22,-71.38,-37.98,
31756000.000000,-90.47,-73.13,-38.43,
31888000.000000,-91.62,-71.84,-38.47,
32020000.000000,-92.07,-71.90,-38.28,
32152000.000000,-89.98,-72.72,-38.36,
32284000.000000,-91.42,-72.85,-38.53,
32416000.000000,-92.72,-72.65,-38.47,
32548000.000000,-91.08,-70.84,-38.34,
32680000.000000,-91.56,-72.77,-38.38,
32812000.000000,-90.97,-71.62,-38.06,
32944000.000000,-93.54,-71.44,-38.41,
33076000.000000,-91.65,-72.02,-38.30,
33208000.000000,-93.55,-72.05,-38.80,
33340000.000000,-91.83,-73.22,-38.35,
33472000.000000,-90.57,-72.29,-38.58,
33604000.000000,-91.45,-71.79,-38.76,
33736000.000000,-90.43,-71.42,-38.67,
33868000.000000,-91.41,-71.50,-38.35,
34000000.000000,-92.21,-71.44,-38.65,
34132000.000000,-90.36,-70.12,-38.56,
34264000.000000,-91.18,-70.37,-38.61,
34396000.000000,-92.71,-73.04,-38.71,
34528000.000000,-90.15,-72.01,-38.56,
34660000.000000,-91.32,-71.59,-38.61,
34792000.000000,-91.40,-72.69,-38.83,
34924000.000000,-89.55,-73.31,-38.74,
35056000.000000,-92.29,-70.26,-38.75,
35188000.000000,-90.89,-70.36,-39.03,
35320000.000000,-91.31,-71.60,-38.72,
35452000.000000,-91.26,-71.62,-38.56,
35584000.000000,-91.00,-70.51,-38.95,
35716000.000000,-92.28,-72.07,-39.14,
35848000.000000,-91.57,-71.35,-38.55,
35980000.000000,-90.11,-71.80,-38.81,
36112000.000000,-90.83,-72.72,-38.86,
36244000.000000,-90.95,-71.74,-38.61,
36376000.000000,-92.04,-71.15,-38.65,
36508000.000000,-90.96,-71.43,-39.22,
36640000.000000,-91.70,-71.14,-39.07,
36772000.000000,-91.43,-70.35,-38.98,
36904000.000000,-93.14,-71.44,-39.22,
37036000.000000,-92.16,-71.20,-38.88,
37168000.000000,-91.66,-70.75,-39.19,
37300000.000000,-91.67,-71.40,-39.36,
37432000.000000,-90.47,-72.36,-39.01,
