#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#Impedance,50
#Number of Points,751
#Sweep Time(s),0.024000,Auto
#Start Frequency,+1.000000000e+06
#Stop Frequency,+6.000000000e+07
#Average Type,Log Pwr
#RBW,300000.000000,Auto
#VBW,300000.000000,Auto
#Sweep Type,Continuous
#Sweep Mode,Auto
#Sweep Rule,Speed
#PreAmp State,ON
#Ref Level,-1.000000000e+01
#Attenuation,30,Auto
#Trigger Source,FreeRun
#Trigger Level,+0.000000000e+00
#Trigger Edge,FALL
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#M2,B,Frequency,12.092000 MHz,-66.19 dBm
#Trace Math,0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace B,Trace C,Trace D
#Trace Type,View,View,View
#Trace Detector,Sample,Sample,Pos Peak
#Trace Data
9.496000e+06,-6.839680e+01,-6.970043e+01,-8.155112e+01
9.574667e+06,-6.735181e+01,-6.926448e+01,-8.130446e+01
9.653333e+06,-6.768328e+01,-6.964298e+01,-8.077457e+01
9.732000e+06,-6.837924e+01,-6.831233e+01,-8.139944e+01
9.810667e+06,-6.830451e+01,-6.956781e+01,-8.122751e+01
9.889333e+06,-6.694521e+01,-6.972816e+01,-8.118368e+01
9.968000e+06,-6.752003e+01,-6.888544e+01,-8.156099e+01
1.004667e+07,-6.800814e+01,-6.839734e+01,-8.208508e+01
1.012533e+07,-6.864885e+01,-6.874274e+01,-8.101895e+01
1.020400e+07,-6.838300e+01,-6.865204e+01,-8.099283e+01
1.028267e+07,-6.769840e+01,-6.928371e+01,-8.150820e+01
1.036133e+07,-6.815896e+01,-6.916789e+01,-8.026899e+01
1.044000e+07,-6.756370e+01,-6.848033e+01,-8.130055e+01
1.051867e+07,-6.845297e+01,-6.853218e+01,-8.022385e+01
1.059733e+07,-6.749884e+01,-6.828265e+01,-8.103861e+01
1.067600e+07,-6.778578e+01,-6.891753e+01,-8.192831e+01
1.075467e+07,-6.718519e+01,-6.831293e+01,-8.098546e+01
1.083333e+07,-6.707096e+01,-6.875182e+01,-8.066167e+01
1.091200e+07,-6.767417e+01,-6.896090e+01,-8.160513e+01
1.099067e+07,-6.769620e+01,-6.763317e+01,-8.064465e+01
1.106933e+07,-6.698813e+01,-6.816342e+01,-8.133908e+01
1.114800e+07,-6.658525e+01,-6.755469e+01,-8.157149e+01
1.122667e+07,-6.776738e+01,-6.711148e+01,-8.060182e+01
1.130533e+07,-6.801778e+01,-6.827749e+01,-8.107633e+01
1.138400e+07,-6.768000e+01,-6.688234e+01,-8.201144e+01
1.146267e+07,-6.722897e+01,-6.833595e+01,-8.112844e+01
1.154133e+07,-6.717215e+01,-6.793606e+01,-8.166344e+01
1.162000e+07,-6.576572e+01,-6.651212e+01,-8.113406e+01
1.169867e+07,-6.775442e+01,-6.865705e+01,-8.142859e+01
1.177733e+07,-6.640511e+01,-6.723482e+01,-8.081218e+01
1.185600e+07,-6.661463e+01,-6.719775e+01,-8.200174e+01
1.193467e+07,-6.658416e+01,-6.670232e+01,-8.092171e+01
1.201333e+07,-6.633218e+01,-6.669620e+01,-8.104359e+01
1.209200e+07,-6.619232e+01,-6.674422e+01,-8.150971e+01
1.217067e+07,-6.592957e+01,-6.614214e+01,-8.154527e+01
1.224933e+07,-6.699974e+01,-6.725898e+01,-8.137685e+01
1.232800e+07,-6.692437e+01,-6.781938e+01,-8.103774e+01
1.240667e+07,-6.533844e+01,-6.682019e+01,-8.045176e+01
1.248533e+07,-6.628110e+01,-6.698761e+01,-8.082790e+01
1.256400e+07,-6.696818e+01,-6.557517e+01,-8.132853e+01
1.264267e+07,-6.597090e+01,-6.810210e+01,-8.243996e+01
1.272133e+07,-6.615159e+01,-6.687676e+01,-8.100702e+01
1.280000e+07,-6.600392e+01,-6.589164e+01,-8.141083e+01
1.287867e+07,-6.485485e+01,-6.610095e+01,-8.083891e+01
1.295733e+07,-6.601132e+01,-6.734202e+01,-8.170162e+01
1.303600e+07,-6.538917e+01,-6.736946e+01,-8.157401e+01
1.311467e+07,-6.558245e+01,-6.559577e+01,-8.088135e+01
1.319333e+07,-6.473063e+01,-6.648389e+01,-8.013863e+01
1.327200e+07,-6.477498e+01,-6.683447e+01,-8.124354e+01
1.335067e+07,-6.499262e+01,-6.612306e+01,-8.113268e+01
1.342933e+07,-6.520061e+01,-6.487202e+01,-8.124624e+01
1.350800e+07,-6.622743e+01,-6.549643e+01,-8.176477e+01
1.358667e+07,-6.523459e+01,-6.668479e+01,-8.113882e+01
1.366533e+07,-6.533735e+01,-6.554267e+01,-8.190022e+01
1.374400e+07,-6.496025e+01,-6.579356e+01,-8.217963e+01
1.382267e+07,-6.465050e+01,-6.513343e+01,-8.050609e+01
1.390133e+07,-6.509080e+01,-6.522475e+01,-8.131757e+01
1.398000e+07,-6.421774e+01,-6.487049e+01,-8.128811e+01
1.405867e+07,-6.535725e+01,-6.468673e+01,-8.137158e+01
1.413733e+07,-6.433483e+01,-6.524717e+01,-8.166276e+01
1.421600e+07,-6.425924e+01,-6.426890e+01,-8.115331e+01
1.429467e+07,-6.551664e+01,-6.524471e+01,-8.153273e+01
1.437333e+07,-6.364574e+01,-6.497946e+01,-8.117845e+01
1.445200e+07,-6.440986e+01,-6.590634e+01,-8.107526e+01
1.453067e+07,-6.515294e+01,-6.413776e+01,-8.133540e+01
1.460933e+07,-6.442874e+01,-6.402575e+01,-8.123690e+01
1.468800e+07,-6.428570e+01,-6.416093e+01,-8.063698e+01
1.476667e+07,-6.375468e+01,-6.486467e+01,-8.125790e+01
1.484533e+07,-6.328234e+01,-6.355821e+01,-8.141287e+01
1.492400e+07,-6.426344e+01,-6.542843e+01,-8.219119e+01
1.500267e+07,-6.381274e+01,-6.437852e+01,-8.115339e+01
1.508133e+07,-6.326183e+01,-6.423130e+01,-8.069119e+01
1.516000e+07,-6.355459e+01,-6.449158e+01,-8.128337e+01
1.523867e+07,-6.351016e+01,-6.493303e+01,-8.112765e+01
1.531733e+07,-6.325283e+01,-6.433361e+01,-8.169067e+01
1.539600e+07,-6.322205e+01,-6.428763e+01,-8.105858e+01
1.547467e+07,-6.367282e+01,-6.306801e+01,-8.072672e+01
1.555333e+07,-6.328873e+01,-6.434613e+01,-8.147624e+01
1.563200e+07,-6.364839e+01,-6.400417e+01,-8.113705e+01
1.571067e+07,-6.453467e+01,-6.402673e+01,-8.047818e+01
1.578933e+07,-6.365212e+01,-6.336040e+01,-8.112447e+01
1.586800e+07,-6.241618e+01,-6.353318e+01,-8.084645e+01
1.594667e+07,-6.216567e+01,-6.359439e+01,-8.008489e+01
1.602533e+07,-6.202293e+01,-6.329327e+01,-8.130615e+01
1.610400e+07,-6.313587e+01,-6.376030e+01,-8.123475e+01
1.618267e+07,-6.267590e+01,-6.293073e+01,-8.207752e+01
1.626133e+07,-6.298700e+01,-6.381325e+01,-8.143141e+01
1.634000e+07,-6.271246e+01,-6.348168e+01,-8.134840e+01
1.641867e+07,-6.237605e+01,-6.282534e+01,-8.165339e+01
1.649733e+07,-6.252149e+01,-6.291678e+01,-8.180851e+01
1.657600e+07,-6.157883e+01,-6.313302e+01,-8.172043e+01
1.665467e+07,-6.218899e+01,-6.329238e+01,-8.053165e+01
1.673333e+07,-6.159299e+01,-6.291567e+01,-8.150501e+01
1.681200e+07,-6.294138e+01,-6.170929e+01,-8.202365e+01
