#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#Impedance,50
#Number of Points,751
#Sweep Time(s),1.620000,Auto
#Start Frequency,+0.000000000e+00
#Stop Frequency,+2.000000000e+07
#Offset Frequency,+0.000000000e+00
#Average Type,Log Pwr
#RBW,10000.000000,Manual
#VBW,10000.000000,Auto
#Sweep Type,Continuous
#Sweep Mode,Sweep
#Sweep Rule,Speed
#PreAmp State,OFF
#Ref Level,+0.000000000e+00
#Attenuation,20,Manual
#Trigger Source,FreeRun
#Trigger Level,+0.000000000e+00
#External Trigger Edge,FALL
#Video Trigger Edge,FALL
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#Marker1,A,Frequency,1.440000 MHz,-89.15 dBm
#Trace Math,0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C,Trace D
#Trace Type,View,View,View,View
#Trace Detector,Sample,Sample,Sample,Sample
#Trace Data
2.773333e+06,-8.701543e+01,-7.726235e+01,-6.467447e+01,-1.130843e+01
2.800000e+06,-8.745902e+01,-7.648794e+01,-6.489214e+01,-1.130843e+01
2.826667e+06,-8.733567e+01,-7.492566e+01,-6.463695e+01,-1.134749e+01
2.853333e+06,-8.743104e+01,-7.819366e+01,-6.614743e+01,-1.139632e+01
2.880000e+06,-8.595889e+01,-7.665182e+01,-6.515646e+01,-1.144026e+01
2.906667e+06,-8.820848e+01,-7.425900e+01,-6.546631e+01,-1.144026e+01
2.933333e+06,-8.630418e+01,-7.591462e+01,-6.512573e+01,-1.148909e+01
2.960000e+06,-8.690940e+01,-7.621192e+01,-6.490543e+01,-1.150374e+01
2.986667e+06,-8.728276e+01,-7.666677e+01,-6.475321e+01,-1.154280e+01
3.013333e+06,-8.673221e+01,-6.772703e+01,-6.493460e+01,-1.159163e+01
3.040000e+06,-8.622407e+01,-7.721271e+01,-6.380880e+01,-1.162581e+01
3.066667e+06,-8.586629e+01,-7.687322e+01,-6.640852e+01,-1.166487e+01
3.093333e+06,-8.531830e+01,-7.740935e+01,-6.600251e+01,-1.172347e+01
3.120000e+06,-8.541971e+01,-7.108467e+01,-6.558056e+01,-1.178206e+01
3.146667e+06,-8.559052e+01,-7.696315e+01,-6.623010e+01,-1.180647e+01
3.173333e+06,-8.638732e+01,-7.705347e+01,-6.550028e+01,-1.182112e+01
3.200000e+06,-8.734931e+01,-7.745653e+01,-6.617550e+01,-1.186019e+01
3.226667e+06,-8.607215e+01,-7.881851e+01,-6.569752e+01,-1.191390e+01
3.253333e+06,-8.830374e+01,-7.577127e+01,-6.616931e+01,-1.194808e+01
3.280000e+06,-8.569080e+01,-7.555894e+01,-6.521604e+01,-1.196272e+01
3.306667e+06,-8.496065e+01,-7.628822e+01,-6.565742e+01,-1.202620e+01
3.333333e+06,-8.576117e+01,-7.753607e+01,-6.609718e+01,-1.208968e+01
